document_id,RawText,clean_text
9043,"RT @OldMainBell: ding, ding ding... DING* DING. ding? #PennState #BlackLivesMatter #JusticeForAll",oldmainbel ding ding ding ding ding ding pennstat blacklivesmatt justiceforal
9044,"RT @OldMainBell: ding, ding ding... DING* DING. ding? #PennState #BlackLivesMatter #JusticeForAll",oldmainbel ding ding ding ding ding ding pennstat blacklivesmatt justiceforal
9045,"Its funny to me why People are saying ""what about #FreePalestine syria or lebanon"" keep in mind this is the exact same People Who said ""nah this is not about you this is about black People"" when People said #AllLivesMatter under #BlackLivesMatter protests

#Ukraine 💙💛",it funni peopl say freepalestin syria lebanon keep mind exact peopl who said nah black peopl peopl said alllivesmatt blacklivesmatt protest ukrain
9046,"RT @_Ksolves: Black History Month 

""Month of remembrance can end but the achievements can't""

@_Ksolves @KsolvesO #BlackLivesMatter #Black…",ksolv black histori month month remembr end achiev ksolv ksolveso blacklivesmatt black
9047,RT @EvangeliTron: Even This Bot Can Say #BlackLivesMatter. Can The Prophet Elijah?,evangelitron even thi bot can say blacklivesmatt can the prophet elijah
9048,"RT @BBMBMC: Hear what Pres Putin thinks about #BlackLivesMatter 
https://t.co/nEQxaI0srf",bbmbmc hear pre putin think blacklivesmatt http co neqxaisrf
9049,"RT @anngcole3: Let's Learn some history 

#BlackHistoryMonth 
#BlackLivesMatter 
#DarkHistory
#CriticalRaceTheory 

https://t.co/JFfiFQ1JvI",anngcol let learn histori blackhistorymonth blacklivesmatt darkhistori criticalracetheori http co jffifqjvi
9050,"RT @inartfairNYK: Now that's our London Mayor.

Seize London properties from Putin allies, Sadiq Khan demands 

https://t.co/jxyQ5V8sOf  #H…",inartfairnyk now london mayor seiz london properti putin alli sadiq khan demand http co jxyqvsof h
9051,"ding, ding ding... DING* DING. ding? #PennState #BlackLivesMatter #JusticeForAll",ding ding ding ding ding ding pennstat blacklivesmatt justiceforal
9052,"Black History Month 

""Month of remembrance can end but the achievements can't""

@_Ksolves @KsolvesO #BlackLivesMatter #Blackhistorymonth2022   #BlackHistory #month #Notable #BlackHistoryMonth #BHM #BHM2022 #BlackTwitter https://t.co/8DctLOLm9b",black histori month month remembr end achiev ksolv ksolveso blacklivesmatt blackhistorymonth blackhistori month notabl blackhistorymonth bhm bhm blacktwitt http co dctlolmb
9053,Even This Bot Can Say #BlackLivesMatter. Can The Prophet Elijah?,even thi bot can say blacklivesmatt can the prophet elijah
9054,"Hear what Pres Putin thinks about #BlackLivesMatter 
https://t.co/nEQxaI0srf",hear pre putin think blacklivesmatt http co neqxaisrf
9055,"Let's Learn some history 

#BlackHistoryMonth 
#BlackLivesMatter 
#DarkHistory
#CriticalRaceTheory 

https://t.co/JFfiFQ1JvI",let learn histori blackhistorymonth blacklivesmatt darkhistori criticalracetheori http co jffifqjvi
9056,RT @beti_jackson_: If you find yourself empathizing with the people of #Ukraine but have been silent about the civilians of #Tigray take a…,beti jackson if find empath peopl ukrain silent civilian tigray take
9057,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9058,"RT @GamersTrans: If you're seeing this, please don't ignore it. LESS THAN 48 HOURS NOW. The goal will be achieved if you do your part.

#Tr…",gamerstran if see plea ignor le than hour now the goal achiev part tr
9059,"RT @KnitsByRis: Crochet purses for only 20,000 Tsh. 🧶🧵👛

#Handmade #Purse #Crochet #Art #KnitsByRis #Tanzania #MadeInTanzania #KaribuTanzan…",knitsbyri crochet purs tsh handmad purs crochet art knitsbyri tanzania madeintanzania kaributanzan
9060,"#BlackHistoryMonth shows us that the legacy of our ancestors lies not solely in the statues and works they left behind, but our very lives, living and prospering in ways they could have never imagined.

#freedom #BlackTwitter #RightToJustice #LIBERTY #BlackLivesMatter 

-TW Jr",blackhistorymonth show u legaci ancestor lie sole statu work left behind live live prosper way could never imagin freedom blacktwitt righttojustic libey blacklivesmatt tw jr
9061,"RT @KnitsByRis: Crochet purses for only 20,000 Tsh. 🧶🧵👛

#Handmade #Purse #Crochet #Art #KnitsByRis #Tanzania #MadeInTanzania #KaribuTanzan…",knitsbyri crochet purs tsh handmad purs crochet art knitsbyri tanzania madeintanzania kaributanzan
9062,"@debthompsonphd Congratulations 👏🏾! I look forward to reading the book. 

I was pleased to hear your insightful intervention @NRCan yesterday. #BHM2022 #BlackLivesMatter",debthompsonphd congratul i look forward read book i plea hear insight intervent nrcan yesterday bhm blacklivesmatt
9063,"RT @GamersTrans: If you're seeing this, please don't ignore it. LESS THAN 48 HOURS NOW. The goal will be achieved if you do your part.

#Tr…",gamerstran if see plea ignor le than hour now the goal achiev part tr
9064,RT @beti_jackson_: If you find yourself empathizing with the people of #Ukraine but have been silent about the civilians of #Tigray take a…,beti jackson if find empath peopl ukrain silent civilian tigray take
9065,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9066,"Now that's our London Mayor.

Seize London properties from Putin allies, Sadiq Khan demands 

https://t.co/jxyQ5V8sOf  #HolocaustMemorialDay #MLK #GrenfellTower #BlackLivesMatter #BidenHarris #oprahmeghanharry #ReparationsNow",now london mayor seiz london properti putin alli sadiq khan demand http co jxyqvsof holocaustmemorialday mlk grenfelltow blacklivesmatt bidenharri oprahmeghanharri reparationsnow
9067,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9068,RT @tundrawolfqueen: This article is a good read &amp; discusses black Americans who made advances in med &amp; other fields towards the benefit of…,tundrawolfqueen thi articl good read amp discus black american made advanc med amp field toward benefit
9069,"RT @VChrome144: The World will regret their Silence in the Case of Biafra. Biafra Exit Is Inevitable. @MachuksO 

#Ukraine #Putin Black Peo…",vchrome the world regret silenc case biafra biafra exit is inevit machukso ukrain putin black peo
9070,"RT @GamersTrans: If you're seeing this, please don't ignore it. LESS THAN 48 HOURS NOW. The goal will be achieved if you do your part.

#Tr…",gamerstran if see plea ignor le than hour now the goal achiev part tr
9071,RT @beti_jackson_: If you find yourself empathizing with the people of #Ukraine but have been silent about the civilians of #Tigray take a…,beti jackson if find empath peopl ukrain silent civilian tigray take
9072,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9073,"If you're seeing this, please don't ignore it. LESS THAN 48 HOURS NOW. The goal will be achieved if you do your part.

#TransCrowdFund
#BlackLivesMatter
#crowdfunding
#blackTRANSlivesmatter

https://t.co/tVDzT0kbS9",if see plea ignor le than hour now the goal achiev part transcrowdfund blacklivesmatt crowdfund blacktranslivesmatt http co tvdztkb
9074,"RT @melesentially: Still waiting for a response from the @RMTunion GS. #blacklivesmatter 
#blm
#Equality 
#equalitywarriors 
#StandUpToRaci…",melesenti still wait respons rmtunion g blacklivesmatt blm equal equalitywarrior standuptoraci
9075,"RT @GamersTrans: OK, THIS IS EXTREMELY URGENT.
‼️‼️
ONLY 48 HOURS TO REACH THE GOAL. IT CAN REACH IF YOU DON'T IGNORE IT.

SPREAD AND DONAT…",gamerstran ok thi is extrem urgent onli hour to reach the goal it can reach if you don t ignor it spread and donat
9076,"RT @melesentially: Still waiting for a response from the @RMTunion GS. #blacklivesmatter 
#blm
#Equality 
#equalitywarriors 
#StandUpToRaci…",melesenti still wait respons rmtunion g blacklivesmatt blm equal equalitywarrior standuptoraci
9077,RT @MsDudani: Honoring all Black Citizens saying thank you for being a critical part of our history and lives today! #BlackHistoryMonth @Jo…,msdudani honor black citizen say thank critic part histori live today blackhistorymonth jo
9078,"@ollymuirs @__Jordan72 @RangersFC Leave me alone 😭

#BlackLivesMatter ✊🏿✊🏿✊🏿✊🏿✊🏿",ollymuir jordan rangersfc leav alon blacklivesmatt
9079,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9080,RT @tundrawolfqueen: This article is a good read &amp; discusses black Americans who made advances in med &amp; other fields towards the benefit of…,tundrawolfqueen thi articl good read amp discus black american made advanc med amp field toward benefit
9081,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9082,"RT @firstdoctorr: - Salary cut
- Fined £250,000
- Lost Adidas sponsorship
- May spend 4 years in prison
An entire career gone for kicking h…",firstdoctorr salari cut fine lost adida sponsorship may spend year prison an entir career gone kick h
9083,@Zperlond1 @ASBMilitary War is wrong but still OBAMA was the president of USA .. Black life matters origined in USA #BlackLivesMatter,zperlond asbmilitari war wrong still obama presid usa black life matter origin usa blacklivesmatt
9084,"RT @GamersTrans: OK, THIS IS EXTREMELY URGENT.
‼️‼️
ONLY 48 HOURS TO REACH THE GOAL. IT CAN REACH IF YOU DON'T IGNORE IT.

SPREAD AND DONAT…",gamerstran ok thi is extrem urgent onli hour to reach the goal it can reach if you don t ignor it spread and donat
9085,Defund the #TopsfieldPolice #BlackLivesMatter,defund topsfieldpolic blacklivesmatt
9086,"https://t.co/TvDvslLyOi

An act of kindness goes a long way! What an amazing story of kindness. Thank you Today Show! 🙂

#Kindness #AdaAnane #AdaezeAnane #GloomyMoonChild #Care #HelpingHand #Trust #compassion #AmericasKindness #BlackAndWhiteKindness #BlackLivesMatter #Cool",http co tvdvsllyoi an act kind goe long way what amaz stori kind thank today show kind adaanan adaezeanan gloomymoonchild care helpinghand trust compass americaskind blackandwhitekind blacklivesmatt cool
9087,"RT @Michael38412441: @business @AP NL
1:22 / 3:05:35
#BlackLivesMatter #GeorgeFloyd #icantbreath
2Pac - Makaveli / Makavelian (Full Album)…",michael busi ap nl blacklivesmatt georgefloyd icantbreath pac makav makavelian full album
9088,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9089,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9090,@TheVoiceNews @SholaMos1 See you all at #SpeakersCorner this Sunday. #ReparationsMasons to set up secret offices in #Tottenham #Haringey #N15 #AdamJogee #HolyQubticChurch #BlackLivesMatter #GAGUT #TheSolutionRoom #hmptv #GotKushTV #RaceFirst #TheVoiceNewspaper https://t.co/71kaCYiJ9K,thevoicenew sholamo see speakerscorn sunday reparationsmason set secret offic tottenham haringey n adamjoge holyqubticchurch blacklivesmatt gagut thesolutionroom hmptv gotkushtv racefirst thevoicenewspap http co kacyijk
9091,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9092,"RT @VChrome144: The World will regret their Silence in the Case of Biafra. Biafra Exit Is Inevitable. @MachuksO 

#Ukraine #Putin Black Peo…",vchrome the world regret silenc case biafra biafra exit is inevit machukso ukrain putin black peo
9093,RT @beti_jackson_: .@POTUS  you immediately took action for Ukraine. And yet it has taken you 478 days to do NOTHING for Tigray. Why do Tig…,beti jackson potu immedi took action ukrain and yet taken day noth tigray whi tig
9094,"RT @Michael38412441: @business @AP NL
1:22 / 3:05:35
#BlackLivesMatter #GeorgeFloyd #icantbreath
2Pac - Makaveli / Makavelian (Full Album)…",michael busi ap nl blacklivesmatt georgefloyd icantbreath pac makav makavelian full album
9095,"@business @AP NL
1:22 / 3:05:35
#BlackLivesMatter #GeorgeFloyd #icantbreath
2Pac - Makaveli / Makavelian (Full Album)
https://t.co/zl4zDWwouq https://t.co/Jr3Q9PRpVT",busi ap nl blacklivesmatt georgefloyd icantbreath pac makav makavelian full album http co zlzdwwouq http co jrqprpvt
9096,"RT @VChrome144: The World will regret their Silence in the Case of Biafra. Biafra Exit Is Inevitable. @MachuksO 

#Ukraine #Putin Black Peo…",vchrome the world regret silenc case biafra biafra exit is inevit machukso ukrain putin black peo
9097,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9098,"RT @MichaelIHWagner: Killer! Very cool #Wolf’s #Burg. Oooops sorry #VW_Group: 

https://t.co/9e0IxiFoHW

#FridaysForFuture #Berlin👑 #PrideM…",michaelihwagn killer veri cool wolf burg oooop sorri vw group http co eixifohw fridaysforfutur berlin pridem
9099,"RT @MichaelIHWagner: Killer! Very cool #Wolf’s #Burg. Oooops sorry #VW_Group: 

https://t.co/9e0IxiFoHW

#FridaysForFuture #Berlin👑 #PrideM…",michaelihwagn killer veri cool wolf burg oooop sorri vw group http co eixifohw fridaysforfutur berlin pridem
9100,"@DalaiLama Greeting a request for autonomy is always cordial, using it as an excuse to invade another autonomous nation from there's a brutal pretext.

#WomanLivesMatter #BlackLivesMatter #NoJusticeNoPeace 

#FreeUkraine #PeaceNoWar @UN @WHO @EU_Commission @UNESCO @UNDPPA @GCC  @Pontifex_it",dalailama greet request autonomi alway cordial use excus invad anoth autonom nation brutal pretext womanlivesmatt blacklivesmatt nojusticenopeac freeukrain peacenowar un who eu commiss unesco undppa gcc pontifex
9101,"Tue Aug 04 2020 Portland, Oregon - Journalist hospitalized after arrest; protesters and journalists pepper sprayed WATCH: https://t.co/Jgw9CXDUGz #PortlandOregon #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice",tue aug portland oregon journalist hospit arrest protest journalist pepper spray watch http co jgwcxdugz portlandoregon ppd blacklivesmatt blm defundthepolic abolishthepolic
9102,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9103,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9104,"RT @say_the_names: Emantic ""EJ"" Fitzgerald Bradford Jr. #BlackLivesMatter",say name emant ej fitzgerald bradford jr blacklivesmatt
9105,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9106,"RT @GamersTrans: OK, THIS IS EXTREMELY URGENT.
‼️‼️
ONLY 48 HOURS TO REACH THE GOAL. IT CAN REACH IF YOU DON'T IGNORE IT.

SPREAD AND DONAT…",gamerstran ok thi is extrem urgent onli hour to reach the goal it can reach if you don t ignor it spread and donat
9107,"RT @TheCanaryUK: ""Millions killed because Brown/Black/Muslim lives hold no value. No one is keeping count. Every day is war for some, but i…",thecanaryuk million kill brown black muslim live hold valu no one keep count everi day war
9108,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9109,@thehill @POTUS @VP @SpeakerPelosi @TheBlackCaucus Repair the damages this country has inflicted upon Black people for centuries! We demand Reparations! No justice no peace! #BlackLivesMatter,thehil potu vp speakerpelosi theblackcaucu repair damag countri inflict upon black peopl centuri we demand repar no justic peac blacklivesmatt
9110,RT @tundrawolfqueen: This article is a good read &amp; discusses black Americans who made advances in med &amp; other fields towards the benefit of…,tundrawolfqueen thi articl good read amp discus black american made advanc med amp field toward benefit
9111,@thehill @POTUS @VP @SpeakerPelosi @TheBlackCaucus Repair the damages this country has inflicted upon Black people for centuries!!! #ReparationsNow #BlackLivesMatter,thehil potu vp speakerpelosi theblackcaucu repair damag countri inflict upon black peopl centuri reparationsnow blacklivesmatt
9112,"RT @MrAndyNgo: #BlackLivesMatter rioters set a whole car lot on fire in Kenosha, Wisc. overnight after a wanted violent criminal suspect wa…",mrandyngo blacklivesmatt rioter set whole car lot fire kenosha wisc overnight want violent crimin suspect wa
9113,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9114,"RT @GamersTrans: OK, THIS IS EXTREMELY URGENT.
‼️‼️
ONLY 48 HOURS TO REACH THE GOAL. IT CAN REACH IF YOU DON'T IGNORE IT.

SPREAD AND DONAT…",gamerstran ok thi is extrem urgent onli hour to reach the goal it can reach if you don t ignor it spread and donat
9115,@MSNBC @POTUS @VP @SpeakerPelosi @TheBlackCaucus Repair the damages this country has inflicted upon Black people for centuries!!! #ReparationsNow #BlackLivesMatter,msnbc potu vp speakerpelosi theblackcaucu repair damag countri inflict upon black peopl centuri reparationsnow blacklivesmatt
9116,RT @TigrayPrevail21: @zeaxumawit Empty statements of concern followed by more statements. History must know we spoke loud yet the IC refuse…,tigrayprevail zeaxumawit empti statement concern follow statement histori must know spoke loud yet ic refus
9117,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9118,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9119,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9120,I'm going to be honest. Sometimes police brutality is justified. If a black man represents a danger to others right in that moment he should be killed right? Also stop destroying businesses because you failed to fight the system. #BlackLivesMatter #BlackLove,i go honest sometim polic brutal justifi if black man repres danger other right moment kill right also stop destroy busi fail fight system blacklivesmatt blacklov
9121,RT @beti_jackson_: If you find yourself empathizing with the people of #Ukraine but have been silent about the civilians of #Tigray take a…,beti jackson if find empath peopl ukrain silent civilian tigray take
9122,"Crochet purses for only 20,000 Tsh. 🧶🧵👛

#Handmade #Purse #Crochet #Art #KnitsByRis #Tanzania #MadeInTanzania #KaribuTanzania #Africa #HandMadeIsBetter #Fashion #BlackFashion #AloneTogether #StaySafe #BlackLivesMatter #BLM #BlackBusinessMatter #TwitterGulio #NipeDili https://t.co/QeYmEK6gGG",crochet purs tsh handmad purs crochet art knitsbyri tanzania madeintanzania kaributanzania africa handmadeisbett fashion blackfashion alonetogeth staysaf blacklivesmatt blm blackbusinessmatt twittergulio nipedili http co qeymekggg
9123,"RT @CDParkinson55: https://t.co/XorS8JgxSo
My first article for Black News UK
#writing #writingcommmunity #Writer #writerslife #writersuppo…",cdparkinson http co xorsjgxso my first articl black news uk write writingcommmun writer writerslif writersuppo
9124,"RT @Edigraphs: Whaaaat ?🤦 😑

We're sending more 💜 to those of us at Ukraine 🙏🏽✊🏾
We're really sorry for the situation at Ukraine 🙏🏽 ✊🏾
Send…",edigraph whaaaat we send u ukrain we realli sorri situat ukrain send
9125,"RT @VChrome144: The World will regret their Silence in the Case of Biafra. Biafra Exit Is Inevitable. @MachuksO 

#Ukraine #Putin Black Peo…",vchrome the world regret silenc case biafra biafra exit is inevit machukso ukrain putin black peo
9126,RT @say_the_names: Patrick Harmon #BlackLivesMatter,say name patrick harmon blacklivesmatt
9127,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9128,"RT @TheTruthbiqch: Nigga

#Blm #BlackLivesMatter",thetruthbiqch nigga blm blacklivesmatt
9129,RT @say_the_names: Patrick Harmon #BlackLivesMatter,say name patrick harmon blacklivesmatt
9130,"RT @VChrome144: The World will regret their Silence in the Case of Biafra. Biafra Exit Is Inevitable. @MachuksO 

#Ukraine #Putin Black Peo…",vchrome the world regret silenc case biafra biafra exit is inevit machukso ukrain putin black peo
9131,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9132,"RT @VChrome144: It on Record that many of our People Died Because of this Military Invasion, But the world is silent, I guess all lives ain…",vchrome it record mani peopl die becaus militari invas but world silent i guess live
9133,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9134,"RT @MrAndyNgo: San Francisco: Thieves broke into a business to steal around $5,000 in cigarettes. They did it in broad daylight by hiding b…",mrandyngo san francisco thiev broke busi steal around cigarett they broad daylight hide b
9135,RT @TigrayPrevail21: @zeaxumawit Empty statements of concern followed by more statements. History must know we spoke loud yet the IC refuse…,tigrayprevail zeaxumawit empti statement concern follow statement histori must know spoke loud yet ic refus
9136,"Nigga

#Blm #BlackLivesMatter",nigga blm blacklivesmatt
